"Are You Sure?","¿Usted está seguro?"
"Store","Tienda"
"Shipping Address","Dirección de entrega"
"Dashboard","Panel de control"
"Dashboard Control","Panel de control"
"=========","== Mage-Connect.csv ======="
"1.5.0.0 & later","1.5.0.0 y posterior"
"Action","Acción"
"Add Author","Añadir autor"
"Add Contents Path","Añadir trayectoria de contenidos"
"Add PHP Extension dependency","Añadir dependencia de la extensión PHP"
"Add Package dependency","Añadir dependencia del paquete"
"Add files","Agregar archivos"
"Authors","Autores"
"Channel","Canal"
"Contents","Contenido"
"Create Extension Package","Crear paquete de extensión"
"Dependencies","Dependencias"
"Edit Extension","Editar extensión"
"Extension","Extensión"
"Extensions","Extensiones"
"Failed to create the package.","No se pudo crear el paquete."
"Failed to load the package data.","No se pudo cargar los datos del paquete."
"Failed to save the package.","No se pudo guardar el paquete."
"Files","Archivos"
"Folder","Carpeta/Ruta"
"Ignore","Ignorar"
"Include","Incluir"
"License","Licencia"
"License URI","Dirección URI de la licencia"
"Load Local Package","Cargar paquete local"
"Load local Package","Cargar paquete local"
"Max","Máximo"
"Maximum","Máximo"
"Min","Mínimo"
"Minimum","Mínimo"
"New Extension","Nueva extensión"
"PHP Version","Versión de PHP"
"Package File Name","Nombre de archivo de paquete"
"Package Info","Información de paquete"
"Packages","Paquetes"
"Path","Ruta"
"Pre-1.5.0.0","anterior de 1.5.0.0"
"Release Info","Información de versión"
"Remove","Eliminar"
"Save As...","Guardar como..."
"Save Data and Create Package","Guardar datos y crear paquete"
"Save package with custom package file name","Guardar paquete con nombre de archivo de paquete personalizado"
"Summary","Resumen"
"Supported releases","Publicaciones soportadas"
"Target","Destino"
"The package %s data has been loaded.","Se cargaron los datos del paquete %s."
"The package data has been saved.","Se guardaron los datos del paquete."
"There was a problem saving package data","Se produjo un problema al guardar los datos del paquete."
"Type","Tipo"
