"Activate fallback for locale","Ausweichsprache für Sprachumgebung aktivieren"
"Locale Fallback","Ausweichsprache"
"Locale Preferred","Sprachpaket"
"Language Extensions","Verwalte Sprachpakete"
"Language Packs","Sprachpakete"
"Manage Language Packs","Verwalte Sprachpakete"
"Translations are differing, values from Locale Fallback will be used.","Die Übersetzungen sind unterschiedlich; die Ausweichsprache wird aktiviert."
"Translations are identical, you can safely switch off the Locale Fallback.","Die Übersetzungen sind identisch, deswegen können Sie die Ausweichsprache ausschalten."
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Achtung: Ihr Locale Pack passt nicht zur installierten Magento Version. Für mehr Information klicken Sie <a href='%s'>hier</a>."
"Argentina","Argentinien"
"Chile","Chile"
"Colombia",Kolombien"
"Spain","Spanien"
"Mexico","Mexiko"
"Spanish (Argentina)","Spanisch (Argentinien)"
"Spanish (Chile)","Spanisch (Chile)"
"Spanish (Colombia)","Spanisch (Kolombien)"
"Spanish (Spain)","Spanisch (Spanien)"
"Spanish (Mexico)","Spanisch (Mexiko)"
"Spanish language package es_AR - Community Edition (CE)","Spanisches Sprachpaket es_AR - Community Edition (CE)"
"Spanish language package es_CL - Community Edition (CE)","Spanisches Sprachpaket es_CL - Community Edition (CE)"
"Spanish language package es_CO - Community Edition (CE)","Spanisches Sprachpaket es_CO - Community Edition (CE)"
"Spanish language package es_ES - Community Edition (CE)","Spanisches Sprachpaket es_ES - Community Edition (CE)"
"Spanish language package es_MX - Community Edition (CE)","Spanisches Sprachpaket es_MX - Community Edition (CE)"
"The <span style='color:red'>%s</span> language pack in version <span style='color:red'>%s</span> has been successfully installed.","Das Sprachpaket <span style='color:red'>%s</span> in der Version <span style='color:red'>%s</span> wurde erfolgreich installiert."
"On the <a href='%s'>Magento Connect page of the Spanish language pack</a>, you can find more information on the latest versions.","Auf der <a href='%s'>Magento-Connect-Seite des spanischen Sprachpakets</a> finden Sie weitere Informationen zu aktuellen Versionen."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Für Interessierte steht ein <a href='%s'>GitHub-Repository</a> zur Verfügung. Es ist für die folgenden Zwecke vorgesehen"
"Development of current language pack versions","Entwicklung aktueller Sprachpaket-Versionen"
"Report an error / send in patches, also happy for both published releases","Fehler melden/Patches einsenden, auch gerne für bereits veröffentlichte Releases"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (unabhängig der offiziellen Quellen)"
"Copy / forks for their own purposes","Kopieren/Forken für eigene Zwecke"
"Active participation in the language pack","Aktives Mitwirken am Sprachpaket"
"View Preview versions & test","Vorschau-Versionen ansehen & testen"
"Note for detailed information, the README file on the GitHub page.","Beachten Sie für detaillierte Informationen die README-Datei auf der GitHub-Seite."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","Um Magento flächendeckend übersetzen zu können, beachten Sie bitte auch die Infos in den unteren Bereichen!"
"powered by","bereitgestellt von"
"and","und"
"Using your own translations","Eigene Übersetzungen nutzen"
"Recommended extensions","Empfohlene Erweiterungen"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","Das installierte Sprachpaket liefert lediglich Übersetzungen der in Magento vorhandenen Texte. Wenn Sie Ihren Magento Shop auf die rechtlichen Anforderungen in %s vorbereiten oder um verbreitete Zahlungsarten erweitern möchten, dann empfehlen wir Ihnen zusätzlich folgende Erweiterungen zu installieren."
"Specific market adjustment for Spanish and European stores","Spezifische Marktanpassung für Spanische und Europäische Shops"
"Currently not available","Derzeit nicht verfügbar"
"Common payment methods","Verbreitete Zahlungsarten"
"Debit / direct debit","Bankeinzug/Lastschrift"
"Cash On Delivery","Nachnahme"
"Payment in Advance","Vorkasse"
"Extension Key for the","Erweiterungsschlüssel für den"
"on","auf"
