"Access denied.","Acceso denegado."
"Can not find webservice adapter.","No pude encontrar el adaptador del servico web."
"Client Session Timeout (sec.)","Plazo límite de la sesión cliente (seg.)"
"Default Response Charset","Conjunto de caracteres de respuesta por omisión"
"Email","Correo electrónico"
"Enable WSDL Cache","Habilitar caché WSDL"
"General Settings","Configuración general"
"Invalid webservice adapter specified.","Adaptador de servicio web especificado es inválido."
"Invalid webservice handler specified.","Controlador de servicio web especificado es inválido."
"Magento Core API","API del núcleo de Magento"
"Magento Core API Section","Apartado de la API (interfaz de programación de aplicaciones) del núcleo de Magento"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Funciones"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Usuarios"
"Unable to login.","Imposible iniciar sesión."
"User Name","Usuario"
"WS-I Compliance","Conformidad con WS-I"
"Web Services","Servicios web"
"Web Services Configuration","Configuración de servicios web"
"Web Services definition files (api.xml).","Archivos de definición de servicios web (api.xml)."
"Web Services definition files (api2.xml).","Archivos de definición de servicios web (api2.xml)."
"Your account has been deactivated.","Su cuenta ha sido desactivada."
