"%s","%s"
"%s role is a special one and can\'t be changed.","Las funciones %s son especiales y no pueden cambiarse."
"%s role is a special one and can\'t be deleted.","Las funciones %s son especiales y no pueden suprimirse."
"%s role is protected.","Las funciones %s están protegidos."
"ACL Attribute Rules","Reglas de atributo ACL"
"ACL Attributes Information","Información de atributos ACL"
"Add","Añadir"
"Add Admin Role","Añadir funciones de administrador"
"Add New Role","Añadir nuevas funciones"
"Address Type","Tipo de dirección"
"Admin","Administrar"
"Allow","Permitir"
"An error occurred while deleting the role.","Se produjo un error al suprimir las funciones."
"An error occurred while saving attribute rules.","Se produjo un error al guardar las reglas del atributo."
"An error occurred while saving role.","Se produjo un error al guardar las funciones."
"Api Rules Information","Información de reglas Api"
"Assigned","Asignado"
"Associate to Website","Asociar a sitio web"
"Attribute Rules Information","Información de reglas de atributo"
"Attribute Set","Conjunto de atributos"
"Attributes","Atributos"
"Automatically Return Credit Memo Item to Stock","Devolver automáticamente artículo de factura rectificada a existencias"
"Back","Atrás"
"Backorders","Pedidos pendientes"
"Base Currency","Divisa base"
"Base Customer Balance","Saldo base de cliente"
"Base Discount","Descuento base"
"Base Discount Amount","Total descuento base"
"Base Item Subtotal","Subtotal artículo base"
"Base Item Subtotal Including Tax","Subtotal artículo base incluyendo impuestos"
"Base Original Price","Precio original base"
"Base Price","Precio base"
"Base Price Including Tax","Precio base incluyendo impuestos"
"Base Shipping","Gastos de envío base"
"Base Shipping Discount","Descuento en los gastos de envío base"
"Base Shipping Tax","Tasas de envío base"
"Base Subtotal","Subtotal base"
"Base Subtotal Including Tax","Subtotal base incluyendo impuestos"
"Base Tax Amount","Total impuestos base"
"Base Total Due","Deuda total base"
"Base Total Paid","Total base pagado"
"Base Total Refunded","Total base reembolsado"
"Buy Now URL","URL de Comprar ahora"
"Can Be Divided into Multiple Boxes for Shipping","Se puede dividir en varias cajas para su envío"
"Canceled Qty","Cantidad cancelada"
"Catalog","Catálogo"
"Catalog Product","Artículo del catálogo"
"CatalogInventory","Catalogar inventario"
"Category ID","ID de categoría"
"City","Ciudad"
"Company","Compañía"
"Country","País"
"Coupon Code","Código de cupón"
"Create","Crear"
"Create Permanent Redirect for old URL","Crear redirección permanente para la antigua URL"
"Created From","Creado desde"
"Customer","Cliente"
"Customer Address","Dirección del cliente"
"Customer Address ID","ID de dirección de cliente"
"Customer Balance","Saldo de cliente"
"Customer First Name","Nombre del cliente"
"Customer ID","ID del cliente"
"Customer Last Name","Apellido del cliente"
"Customer Middle Name","Segundo nombre del cliente"
"Customer Prefix","Prefijo de cliente"
"Customer Suffix","Sufijo cliente"
"Default Image","Imagen predeterminada"
"Delete","Eliminar"
"Deny","Denegar"
"Disable automatic group change based on VAT ID","Deshabilitar cambio de grupo automático según ID del IVA"
"Discount","Descuento"
"Discount Amount","Cantidad descontada"
"Discount Description","Descripción del descuento"
"Edit","Editar"
"Edit %s ACL attribute rules","Editar reglas de atributo ACL de %s"
"Edit Role","Modificar el rol"
"Edit attribute rules for %s Role","Editar reglas de atributo para funciones %s"
"Email","Correo electrónico"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Exclude","Excluir"
"File Content","Contenido del archivo"
"File MIME Type","Archivo tipo MIME"
"File Name","Nombre de archivo"
"Final Price With Tax","Precio final con impuestos"
"Final Price Without Tax","Precio final sin impuestos"
"First Name","Nombre"
"Gift Message","Mensaje de regalo"
"Grand Total","Suma total"
"Grand Total to Be Charged","Total global a aplicar"
"Group","Grupo"
"Guest","Visitante"
"Has Custom Options","Dispone de opciones personalizadas"
"ID","ID"
"Inventory Data","Datos de inventario"
"Invoiced Qty","Cantidad facturada"
"Is Confirmed","Está confirmado"
"Is Default Billing Address","Dirección de facturación predeterminada"
"Is Default Shipping Address","Es la dirección de envío predeterminada"
"Item ID","ID de artículo"
"Item Subtotal","Subtotal del artículo"
"Item Subtotal Including Tax","Subtotal del artículo incluyendo impuestos"
"Label","Etiqueta"
"Last Logged In","Último inicio de sesión"
"Last Name","Apellidos"
"Low Stock Date","Fecha de bajas existencias"
"Manage Stock","Gestionar existencias"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de compras"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carrito de compras"
"New Role","Nuevos funciones"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"OAuth","OAuth"
"Order","Pedido"
"Order Addresses","Direcciones de pedido"
"Order Comments","Comentarios del pedido"
"Order Currency","Moneda de pedido"
"Order Date","Fecha del pedido"
"Order ID","ID de pedido"
"Order ID (internal)","ID de pedido (interno)"
"Order Item ID","ID del artículo pedido"
"Order Items","Artículos de pedido"
"Order Status","Estado del pedido"
"Ordered Qty","Cantidad pedida"
"Orders","Pedidos"
"Original Price","Precio original"
"Parent Order Item ID","ID del artículo del pedido principal"
"Payment Method","Método de pago"
"Phone Number","Número de teléfono"
"Placed from IP","Realizado desde IP"
"Please enter a valid number in ""max_sale_qty"" field","Por favor, introduce un número válido en el campo ""max_sale_qty"""
"Please enter a valid number in ""min_qty"" field","Por favor, introduce un número válido en el campo ""min_qty"""
"Please enter a valid number in ""min_sale_qty"" field","Por favor, introduce un número válido en el campo ""min_sale_qty"""
"Please enter a valid number in ""notify_stock_qty"" field","Por favor, introduce un número válido en el campo ""notify_stock_qty"""
"Please use numbers only in ""category_id"" field.","Por favor, utilice solamente números en el campo ""category_id""."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Por favor, utilice solamente números en el campo ""qty_increments"". Por favor, evite espacios u otros caracteres tales como puntos o comas."
"Position","Posición"
"Price","Precio"
"Price Including Tax","Precio incluyendo impuestos"
"Product","Artículo"
"Product Category","Categoría de artículo"
"Product ID","ID de artículo"
"Product Image","Imagen del artículo"
"Product Type","Tipo de artículo"
"Product URL","URL de artículo"
"Product Website","Sitio web de artículo"
"Product and Custom Options Name","Nombre de artículo y opciones personalizadas"
"Qty","Cantidad"
"Qty Increments","Incrementos de cantidad"
"Qty Uses Decimals","La cantidad usa decimales"
"Qty for Item's Status to Become Out of Stock","Cantidad de artículos disponibles antes de agotarse"
"REST - Attributes","REST - Atributos"
"REST - Roles","REST - Roles"
"REST ACL Attributes","Atributos ACL REST"
"REST Attributes","Atributos REST"
"REST Role","Rol REST"
"REST Roles","Roles REST"
"REST Roles Information","Información de roles de REST"
"Read","Leer"
"Refunded Qty","Cantidad reembolsada"
"Regular Price With Tax","Precio normal incluyendo impuestos"
"Regular Price Without Tax","Precio estándar sin impuestos"
"Rest Roles","Roles de Rest"
"Retrieve","Recuperar"
"Role ""%s"" no longer exists","La clase ""%s"" ya no existe"
"Role ""%s"" not found.","No se encontró el rol ""%s""."
"Role API Resources","Función de los recursos de la API"
"Role Info","Información del rol"
"Role Information","Información de la función"
"Role Name","Nombre de la función"
"Role Users","Usuario con roles"
"Role has been deleted.","El rol se ha borrado."
"Roles","Roles"
"SKU","SKU"
"Salability Status","Estado vendibilidad"
"Sales","Ventas"
"Save","Guardar"
"Shipped Qty","Cantidad enviada"
"Shipping Amount","Gastos de envío"
"Shipping Discount","Descuento de gastos de envío"
"Shipping Including Tax","Envío sin impuestos"
"Shipping Method","Método de envío"
"Shipping Tax","Tasas de envío"
"State","Estado"
"Stock Availability","Disponibilidad de inventario"
"Stock ID","Identificación de mercancía"
"Stock Item","Artículo disponible"
"Stock Status","Estado de existencias"
"Store Currency to Order Currency Rate","Tasa de cambio de la divisa de la tienda a la divisa del pedido"
"Store Name","Nombre de la tienda"
"Street","Calle"
"Subtotal","Subtotal"
"Subtotal Including Tax","Subtotal con impuestos"
"System","Sistema"
"Tax Amount","Importe del impuesto"
"Tax Name","Nombre de impuesto"
"Tax Percent","Porcentaje de impuestos"
"Tax Rate","Tarifa de impuestos"
"The ""enable_qty_increments"" field must be set to 0 or 1.","El campo ""enable_qty_increments"" debe estar fijado en 0 o 1."
"The ""is_decimal_divided"" field must be set to 0 or 1.","El campo  ""is_decimal_divided"" debe estar fijado en 0 o 1."
"The ""is_in_stock"" field must be set to 0 or 1.","El campo ""is_in_stock"" debe estar fijado en 0 o 1."
"The ""is_qty_decimal"" field must be set to 0 or 1.","El campo  ""is_qty_decimal"" debe estar fijado en 0 o 1."
"The ""is_qty_decimal"" field must be set to 0, 1, or 2.","El campo ""is_qty_decimal"" debe estar fijado en 0, 1 o 2."
"The ""manage_stock"" field must be set to 0 or 1.","El campo ""manage_stock"" debe estar fijado en 0 o 1."
"The ""stock_status_changed_auto"" field must be set to 0 or 1.","El campo ""stock_status_changed_auto"" debe estar fijado en 0 o 1."
"The ""use_config_backorders"" field must be set to 0 or 1.","El campo ""use_config_backorders"" debe estar fijado en 0 o 1."
"The ""use_config_enable_qty_inc"" field must be set to 0 or 1.","El campo ""use_config_enable_qty_inc"" debe estar fijado en 0 o 1."
"The ""use_config_manage_stock"" field must be set to 0 or 1.","El campo ""use_config_manage_stock"" debe estar fijado en 0 o 1."
"The ""use_config_max_sale_qty"" field must be set to 0 or 1.","El campo ""use_config_max_sale_qty"" debe estar fijado en 0 o 1."
"The ""use_config_min_qty"" field must be set to 0 or 1.","El campo ""use_config_min_qty"" debe estar fijado en 0 o 1."
"The ""use_config_min_sale_qty"" field must be set to 0 or 1.","El campo ""use_config_min_sale_qty"" debe estar fijado en 0 o 1."
"The ""use_config_notify_stock_qty"" field must be set to 0 or 1.","El campo ""use_config_notify_stock_qty"" debe estar fijado en 0 o 1."
"The ""use_config_qty_increments"" field must be set to 0 or 1.","El campo ""use_config_qty_increments"" debe estar fijado en 0 o 1."
"The attribute rules were saved.","Las reglas de atributo se han guardado."
"The role has been saved.","Se guardó el rol."
"The role is a special one and not for assigning it to admin users.","El rol es especial y no se puede asignar a usuarios administradores."
"Total Due","Total debido"
"Total Paid","Total pagado"
"Total Refunded","Total reembolsado"
"Total Reviews Count","Recuento total de comentarios"
"Type","Tipo"
"URL","URL"
"Update","Actualizar"
"Use Config Settings for Allow Gift Message","Utilice los ajustes de configuración para permitir mensaje en el regalo"
"Use Config Settings for Allow Gift Wrapping","Utilice los ajustes de configuración para permitir envolver regalo"
"Use Config Settings for Backorders","Utilice los ajustes de configuración para los pedidos pendientes"
"Use Config Settings for Enable Qty Increments","Utilice los ajustes de configuración para habilitar los incrementos de cantidad"
"Use Config Settings for Manage Stock","Utilice los ajustes de configuración para gestionar las existencias"
"Use Config Settings for Maximum Qty Allowed in Shopping Cart","Utilice los ajustes de configuración para ajustar la cantidad máxima permitida en el carrito de compras"
"Use Config Settings for Minimum Qty Allowed in Shopping Cart","Utilice los ajustes de configuración para ajustar la cantidad mínima permitida en el carrito de compras"
"Use Config Settings for Notify for Quantity Below","Utilice los ajustes de configuración para notificar cuando baje la cantidad"
"Use Config Settings for Qty Increments","Utilice los ajustes de configuración para los incrementos de cantidad"
"Use Config Settings for Qty for Item's Status to Become Out of Stock","Utilice los ajustes de configuración para que el estado del artículo sea ""Fuera de existencias"""
"User Type","Tipo de usuario"
"User type ""%s"" no longer exists","El tipo de usuario ""%s"" ya no existe"
"User type ""%s"" not found.","Tipo de usuario ""%s"" no encontrado."
"Web Services","Servicios web"
"Web services","Servicios web"
"Write","Escribir"
"ZIP/Postal Code","Código postal"
