"# of Use","Nº de uso"
"%1$s incl tax.","%1$ incluido impuestos."
"%s - %s","%s - %s"
"%s Item(s)","%s artículo(s)"
"%s and above","%s y superior"
"%s-%s of %s","%s-%s de %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Copiar datos de: %s)"
"* Required Fields","* Campos requeridos"
"-- Please Select --","-- Por favor, seleccione --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","La opción predeterminada es 86400, si no está configurada. Para actualizarla instantáneamente, hay que borrar la memoria caché de salida HTML del bloque."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">¡Advertencia!</strong> Aplicar MAP por defecto va a esconder todos los precios de artículos de la parte pública."
"A group with the same name already exists.","Un grupo con el mismo nombre ya existe."
"A name is required","Se requiere un nombre"
"A product type is not defined for the indexer.","Un tipo de artículo todavía is no está definido para el motor de indexación."
"ALL GROUPS","TODOS LOS GRUPOS"
"AM","AM"
"Action","Acción"
"Actual Price","Precio actual"
"Add","Añadir"
"Add Attribute","Añadir atributo"
"Add Design Change","Añadir cambio de diseño"
"Add Group","Añadir grupo"
"Add Group Price","Añadir precio de grupo"
"Add New","Nuevo"
"Add New Attribute","Nuevo atributo"
"Add New Attribute Set","Nuevo conjunto de atributos"
"Add New Group","Nuevo grupo"
"Add New Images","Añadir nuevas imágenes"
"Add New Option","Nueva opción"
"Add New Row","Nueva fila"
"Add New Search Term","Nuevo término de búsqueda"
"Add New Set","Nuevo conjunto"
"Add Product","Añadir artículo"
"Add Product To Websites","Añadir artículo a sitios web"
"Add Root Category","Añadir categoría raíz"
"Add Subcategory","Añadir subcategoría"
"Add Tax","Añadir impuestos"
"Add Tier","Añadir escalones de precios"
"Add attribute into attribute set","Añadir atributo al conjunto de atributos"
"Add group into attribute set","Añadir grupo al conjunto de atributos"
"Add new custom option into product","Añadir nueva opción de personalización al artículo"
"Add new values into custom option","Añadir nuevos valores a la opción de personalización"
"Add option","Añadir opción"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir para comparar."
"Add to Wishlist","Añadir a lista de deseos."
"Additional Information","Información adicional"
"Alert Urls","Direcciones URL de alerta"
"All","Todo"
"All Product Types","Todos los tipos de artículos"
"All Websites","Todos los sitios web"
"All products","Todos los artículos"
"All products - recently added products, New products - products marked as new","Todos los artículos - artículos añadidos recientemente, Nuevos artículos - artículos marcados como nuevos"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","¡Todos los artículos de este conjunto serán eliminados! ¿Estás seguro que quieres eliminar este conjunto de atributos?"
"Allow All Products per Page","Permitir todos los artículos por página"
"Allow Dynamic Media URLs in Products and Categories","Permitir direcciones URL multimedia dinámicas en artículos y categorías"
"Allow HTML Tags on Frontend","Permitir etiquetas HTML en la interfaz del cliente"
"Allowed File Extensions","Extensiones de archivo permitidos"
"Allowed file extensions to upload","Extensiones de archivo permitidos para subir"
"Amount","Importe"
"An error occurred while adding products to websites.","Se produjo un error mientras se agregaban artículos a los sitios web."
"An error occurred while clearing comparison list.","Se produjo un error mientras se borraba la lista de comparación."
"An error occurred while deleting this review.","Se produjo un error al eliminar esta revisión."
"An error occurred while removing products from websites.","Se produjo un error mientras se eliminaban artículos de sitios web."
"An error occurred while saving the URL rewrite","Se produjo un error al guardar la URL reescrita"
"An error occurred while saving the attribute set.","Se produjo un error mientras se guardaba el conjunto de atributos."
"An error occurred while saving the collection, aborting. Error message: %s","Se produjo un error al guardar la recopilación, abortando. Mensaje de error: %s"
"An error occurred while saving the product. ","Se produjo un error mientras se guardaba el artículo."
"An error occurred while saving the search query.","Se produjo un error mientras se guardaba el enunciado de búsqueda."
"An error occurred while saving this group.","Se produjo un error mientras se guardaba este grupo."
"An error occurred while saving this review.","Se produjo un error al guardar esta revisión."
"An error occurred while trying to delete the category.","Se produjo un error mientras se intentaba eliminar la categoría."
"An error occurred while updating the product(s) attributes.","Se produjo un error al actualizar los atributos del artículo o artículos."
"An error occurred while updating the product(s) status.","Se produjo un error al actualizar el estado del artículo o artículos."
"An invalid group ID is specified, skipping the record.","Se especificó una identificación de grupo inválida, saltando el registro."
"An invalid option ID is specified for %s (%s), skipping the record.","Se especificó un ID de opción no válido para %s (%s). Se omitirá este registro."
"An invalid store was specified.","Se especificó una tienda no válida."
"Anchor Custom Text","Ancla Texto personalizado"
"Anchor Custom Title","Ancla Título personalizado"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicable únicamente a las categorías y los artículos de catálogo. Todo el contenido multimedia se insertará en el editor como una dirección URL estática. No se actualiza si cambia la dirección URL básica de configuración del sistema."
"Apply MAP","Aplicar precio mínimo publicado"
"Apply MAP (Default Value)","Aplicar precio mínimo publicado (predeterminado)"
"Apply To","Aplicar a"
"Approved","Aprobado"
"Are you sure you want to delete this category?","¿Realmente quiere eliminar esta categoría?"
"Are you sure you would like to remove all products from your comparison?","¿Realmente quiere eliminar todos los artículos de la comparación?"
"Are you sure you would like to remove this item from the compare products?","¿Realmente quiere eliminar este artículo de los artículos de la comparación?"
"Are you sure?","¿Está seguro?"
"As low as:","desde:"
"Assign","Asignar"
"Assign product link","Asignar enlace de artículo"
"Assign product to category","Asignar artículo a categoría"
"Assigned Products","Artículos asignados"
"Associated Products","Artículos asociados"
"Attrib. Set Name","Nombre de conjunto de atributos"
"Attribute ""%s"" is invalid.","El atributo ""%s"" es inválido."
"Attribute ""%s"" is required.","El atributo ""%s"" es requerido."
"Attribute Information","Información de atributo"
"Attribute Model","Modelo de atributo"
"Attribute Name:","Nombre de atributo:"
"Attribute Set","Conjunto de atributos"
"Attribute Sets","Conjunto de atributos"
"Attribute add","Añadir atributo"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Código del atributo es inválido. Por favor, usa solo letras (a-z), números (0-9) o guion bajo (_) en este campo. El primer carácter debe ser una letra."
"Attribute group with the \/name/\"" name already exists""","El grupo de atributos con el ""\/name/\"" nombre ya existe."
"Attribute group with the \/name/\ name already exists","El grupo de atributos con el ""\/name/\"" nombre ya existe."
"Attribute group with the ""\/name/\"" name already exists","El grupo de atributos con el ""\/name/\"" nombre ya existe."
"Attribute remove","Eliminar atributo"
"Attribute with the same code already exists","Ya existe un atributo con el mismo código"
"Attributes","Atributos"
"Attribute names can be specified per store.","Pueden especificarse nombres de atributos por tienda."
"Attrribute names can be specified per store.","Pueden especificarse nombres de atributos por tienda."
"Autogenerate","Generar automáticamente"
"Availability:","Disponibilidad:"
"Back","Volver atrás"
"Backend Model","Administración del sitio Modelo"
"Backend Table","Administración del sitio Tabla"
"Backend Table Title","Administración del sitio Título de la tabla"
"Backorders","Pedidos de artículos agotados pendientes"
"Base Image Width","Vista detallada ancho"
"Based On","Basado en"
"Before Order Confirmation","Antes de la confirmación del pedido"
"Best Value","Mejor valor"
"Block after Info Column","Bloque posterior a la columna de información"
"Bottom Block Options Wrapper","Ajuste de opciones del bloque inferior"
"Bottom/Left","Inferior/izquierda"
"Bottom/Right","Inferior/derecha"
"Browse By","Navegar por"
"Bundle Items","Elementos en paquete"
"Buy %1$s","Comprar %1$s"
"Buy %1$s for","Comprar %1$s por el precio de"
"Buy %1$s for %2$s","Comprar %1$s por el precio de %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Comprar %1$s por el precio de %2$s (%3$s con impuestos incluidos) cada uno"
"Buy %1$s for %2$s each","Comprar %1$s por el precio de %2$s cada uno"
"Cache Lifetime (Seconds)","Ciclo de vida caché (segundos)"
"Cache refresh needed.","Caché necesita ser acualizado."
"Can be Divided into Multiple Boxes for Shipping","Puede dividirse en varias cajas para el envío."
"Can be used only with catalog input type Dropdown","Solo puede utilizarse con el tipo de entrada de catálogo lista desplegable."
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Solo puede utilizarse con los tipos de entrada de catálogo lista desplegable, selección múltiple y precio."
"Can\'t create image.","No se puede crear la imagen."
"Cancel","Cancelar"
"Cannot create image.","No se puede crear la imagen."
"Cannot create writeable directory '%s'.","No se puede crear el directorio con permiso de escritura '%s'."
"Cart Item Attribute","Atributo de artículo del carrito de compras"
"Catalog","Catálogo"
"Catalog Category (Anchor)","Categoría de catálogo (ancla)"
"Catalog Category (Non-Anchor)","Categoría de catálogo (sin ancla)"
"Catalog Category (Without Subcategories)","Categoría del catálogo (sin subcategorías)"
"Catalog Category Link","Enlace a la categoría de catálogo"
"Catalog New Products List","Lista de nuevos artículos del catálogo"
"Catalog Price Scope","Alcance del precio del catálogo"
"Catalog Product Compare List","Lista de comparación de artículos del catálogo"
"Catalog Product Email to a Friend","Enviar email a un amigo con el catálogo de artículos"
"Catalog Product Image Gallery Popup","Galería de imágenes emergente del catálogo de artículos"
"Catalog Product Link","Enlace al catálgo de artículos"
"Catalog Product View (Any)","Vista del catálogo de artículo (cualquiera)"
"Catalog Product View (Configurable)","Vista del catálogo de artículo (configurable)"
"Catalog Product View (Grouped)","Vista del catálogo de artículo (agrupada)"
"Catalog Product View (Simple)","Vista del catálogo de artículo (simple)"
"Catalog Product View (Virtual)","Vista del catálogo de artículo (virtual)"
