"%s was added to your shopping cart.","%s se ha añadido a su carrito de compras."
"%s was updated in your shopping cart.","Se actualizó %s en su carrito de compras."
"(Excl. Tax)","(Sin impuestos)"
"(Incl. Tax)","(Con impuestos)"
"* Required Fields","* Por favor, complete esta información"
"Add New Address","Añadir nueva dirección"
"Add New Condition","Añadir nueva condición"
"Add coupon code for shopping cart","Agregar código promocional a carrito de compras"
"Add gift messages to shopping cart","Agregar mensajes de regalo al carrito de compras"
"Add product to shopping cart","Agregar artículo al carrito de compras"
"Add product(s) to shopping cart","Agregar artículo(s) al carrito de compras"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a lista de deseos"
"Additional Product Info","Información adicional del artículo"
"Address","Dirección"
"Address %s of %s","Dirección %s de %s"
"After Adding a Product Redirect to Shopping Cart","Después de añadir un artículo volver al carrito de compras"
"Allow Guest Checkout","Permitir facturación al visitante"
"Already registered?","¿Ya está registrado?"
"An error occurred in the process of payment","Se produjo un error durante el artículo de pago"
"An error occurred while deleting this condition.","Se produjo un error al eliminar esta condición."
"An error occurred while saving this condition.","Se produjo un error al guardar esta condición."
"Apply","Aplicar"
"Apply Coupon","Aplicar cupón"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","¿Está seguro de que desea abandonar esta página? Tendrá que realizar el pedido de nuevo."
"Are you sure you would like to remove this item from the shopping cart?","¿Está seguro de que desea eliminar este artículo del carrito de compras?"
"Back","Volver atrás"
"Back to Billing Information","Volver a la información de la factura"
"Back to Select Addresses","Volver a la selección de la dirección"
"Back to Shipping Information","Volver a la información de envío"
"Back to Shopping Cart","Volver al carrito de compras"
"Based on your selection, you may be interested in the following items:","Basándonos en su selección, puede que esté interesado/a en los siguientes artículos."
"Billing Address","Dirección de facturación"
"Billing Information","Detalles de facturación"
"Billing Information - %s","Detalles de facturación - %s"
"Can not remove the item.","No se puede eliminar este elemento."
"Can not save item.","No se puede guardar este elemento."
"Cancel","Cancelar"
"Cancel Coupon","Cancelar cupón"
"Cannot add item to the shopping cart.","No se puede añadir el artículo al carrito de compras."
"Cannot add the item to shopping cart","No se puede añadir el artículo al carrito de compras."
"Cannot add the item to shopping cart.","Imposible añadir el artículo al carrito de compras."
"Cannot apply the coupon code.","Imposible aplicar el código del cupón"
"Cannot configure product.","No se puede configurar el artículo."
"Cannot open the overview page","Imposible abrir la vista preliminar"
"Cannot process the item.","No se puede procesar el artículo."
"Cannot remove the item.","Imposible eliminar el artículo."
"Cannot update shopping cart.","Imposible actualizar el carrito de compras."
"Cannot update the item.","No se puede actualizar el artículo."
"Card Verification Number Visual Reference","Verificación de la tarjeta número de referencia visual"
"Cart","Carrito de compras"
"Cart Product API","API del artículo del carrito de compras"
"Cart Subtotal:","Subtotal del carrito de compras:"
"Change","Cambiar"
"Change Billing Address","Cambiar la dirección de facturación"
"Checkbox Text","Casilla de verificación de texto"
"Checkout","Realizar pedido"
"Checkout Conditions","Texto de condiciones"
"Checkout Forms Extra","Formularios de pedido adicionales"
"Checkout Method","¿Cómo desea ir a la caja?"
"Checkout Options","Opciones de compra"
"Checkout Progress Wrapper","Envoltura del progreso de pago"
"Checkout Section","Proceso de pago"
"Checkout Terms and Conditions","Términos y condiciones"
"Checkout as Guest","Realizar pedido como visitante"
"Checkout as a Guest or Register","Realizar pedido como visitante o registrarse"
"Checkout with Multiple Addresses","Comprar con múltiples direcciones"
"City","Ciudad"
"Clear Shopping Cart","Vaciar carrito de compras"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Pulse <a href=""%s"" onclick=""this.target=\'_blank\'"">aquí para imprimir</a> una copia de la confirmación del pedido."
"Click <a href=""%s"">here</a> to continue shopping.","Pulse <a href=""%s"">aquí</a> para continuar comprando."
"Close","Cerrar"
"Company","Compañía"
"Condition Name","Nombre de condición"
"Configurable Product Image","Imagen del artículo configurable"
"Configure Cart Item","Configurar artículo en el carrito de compras"
"Confirm Password","Confirma contraseña"
"Content","Contenido"
"Content Height","Altura del contenido"
"Content Height (css)","Altura del contenido (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar a la dirección de la facturación"
"Continue to Review Your Order","Continuar a la verificación de su pedido"
"Continue to Shipping Information","Continuar a la dirección del envío"
"Country","País"
