"%s","%s"
"%s already exist.","%s ya existen."
"%s already exists.","%s ya existe."
"-- Please Select --","-- Seleccione, por favor --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">¡Aviso!</strong> Al usar CDN, en algunos casos JavaScript puede no funcionar correctamente si CDN no está en su subdominio."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">¡Precaución!</strong> Cuando se utiliza el código de tienda en las URL, en algunos casos el sistema puede llegar a no funcionar correctamente si las URLs sin los códigos de las tiendas están especificados en sistemas externos (como PayPal etc.)."
"A category object is required for determining the product request path.","Se requiere un objeto de categoría para determinar la ruta de solicitud del artículo."
"Add Block Names to Hints","Agregar nombres de bloques a la ayuda"
"Add Secret Key To Url","Agregar código de tienda a las dirección URL"
"Add Secret Key to URLs","Agregar clave secreta a las direcciones URL"
"Add Store Code to Urls","Agregar código de tienda a las direcciones URL"
"Admin","Gestionar administración"
"Admin Base URL","Admin dirección URL básica"
"Admin User Emails","Admin user emails"
"Admin routing compatibility mode for extensions","Admin modo de compatibilidad enrutamiento para extensiones"
"Advanced","Gestión avanzada"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Después de seleccionar una nueva ubicación de almacenamiento multimedia, pulsa el botón Sincronizar para transferir todos los archivos multimedia a esa ubicación. Los archivos multimedia no estarán disponibles en la nueva ubicación hasta que el proceso de sincronización se complete."
"Allow Countries","Países permitidos"
"Allow Magento Backend to run in frame","Permitir que el motor de Magento se ejecute en un marco"
"Allow Magento Frontend to run in frame","Permitir que la interfaz de Magento se ejecute en un marco"
"Allow Symlinks","Permitir Symlinks"
"Allowed IPs (comma separated)","IP permitidas (separadas por comas)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de archivo permitidos: ICO, PNG, GIF, JPEG, APNG, SVG. ¡No todos los exploradores admiten todos estos formatos!"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de archivo permitidos: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. ¡No todos los exploradores admiten todos estos formatos!"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Tipos de archivo permitidos: ICO, PNG, GIF, JPG, JPEG, APNG. ¡No todos los exploradores admiten todos estos formatos!"
"Allowed file types: jpeg, gif, png.","Tipos de archivo permitidos: jpeg, gif, png."
"Allowed file types: jpg, jpeg, gif, png","Tipos de archivo permitidos: jpg, jpeg, gif, png."
"Allowed file types: jpg, jpeg, gif, png. To make logo look good on high-resolution displays, upload an image that is 2x normal size and then specify 1x dimensions in width/height fields below.","Tipos de archivo permitidos: jpg, jpeg, gif, png. Para que el logotipo se vea bien en pantallas de alta resolución, cargue una imagen que tenga el doble del tamaño normal y luego especifique el ancho y la altura del tamaño normal en los campos a continuación."
"Allows customers to stay logged in when switching between different stores.","Permitir que los clientes sigan con su sesión abierta al pasar de una tienda a otra."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para el enlace a la siguiente página en el menú de paginación. Si queda en blanco, se utilizará la imagen de flecha predeterminada."
