"Currency","Moneda"
"Custom currency symbols were applied successfully.","Los símbolos personalizados de divisas se aplicaron con éxito."
"Manage Currency","Gestión de monedas"
"Manage Currency Rates","Gestión de tipos de cambio"
"Manage Currency Symbols","Gestión de símbolos de monedas"
"Rates","Tasas"
"Save Currency Rates","Guardar tipos de cambio"
"Save Currency Symbols","Guardar símbolos de divisas"
"Symbol","Símbolo"
"Symbols","Símbolos"
"System","Sistema"
"Use Default","Usa predeterminado"
"Use Standard","Usa predeterminado"
"Use Website","Usa sitio web"
