" or "," o "
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' parece ser un servidor DNS pero no puede extraer la parte TLD."
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' parece ser un servidor DNS pero no puede hacer coincidir en TLD con la lista."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' parece ser un servidor DNS pero no puede hacer coincidir el esquema del servidor con el TLD '%tld%'."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' parece ser un servidor DNS pero contiene un guion en una posición inválida."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' parece ser un nombre de servidor DNS pero no se puede descifrar la notación del Punycode introducido"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' parece ser un nombre de red local, pero no se permiten nombres de redes locales."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' parece ser una dirección IP, pero no se permiten direcciones IP."
"'%value%' does not appear to be a valid local network name","'%value%' no parece ser un nombre válido de una red local."
"* Required Fields","* Campos requeridos"
"ALL GROUPS","Todos grupos de clientes"
"Account Dashboard","Cuenta Panel de control"
"Account Information","Cuenta Información"
"Account Sharing Options","Cuenta Opciones para compartir"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Es necesario confirmar la cuenta. Por favor, abra en su correo electrónico el enlace de confirmación. Para volver a enviar el correo electrónico de confirmación por favor, <a href=""%s"">pulse aquí</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Es necesario confirmar la cuenta. Por favor, abra en su correo electrónico el enlace de confirmación. Para volver a enviar el correo electrónico de confirmación por favor, <a href=""%s"">pulse aquí</a>."
"Action","Acción"
"Add New Address","Nueva dirección"
"Add New Customer","Nuevo cliente"
"Add New Customer Group","Nuevo grupo de clientes"
"Added From","Añadido de"
"Additional Address Entries","Entradas adicionales de direcciones postales"
"Address","Dirección postal"
"Address Book","Libreta de direcciones"
"Address Books","Libretas de direcciones"
"Address Information","Información de la dirección"
"Address Templates","Plantillas para direcciones"
"Addresses","Direcciones"
"Admin","Administrar"
"All","Todo"
"All Store Views","Todas las vistas de tienda"
"All countries","Todos los países"
"Always optional.","Siempre opcional"
"Amount","Importe"
"An error occurred while deleting the address.","Un error se ha producido al eliminar la dirección."
"An error occurred while retrieving the option value: %s.","Un error se ha producido al recuperar el valor de la opción: %s."
"An error occurred while saving the collection, aborting. Error: %s","Un error se ha producido al guardar la colección. Se anulará la operación. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Se ha especificado una opción ID inválida para %s (%s), se omite el registro."
"Approved","Aprobado"
