"Abandoned Carts","Carritos abandonados"
"Abandoned carts","Carritos abandonados"
"Action","Acción"
"Add to Cart","Añadir al carrito de compras"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a la lista de deseos"
"Any","Cualquier"
"Applied Coupon","Cupón aplicado"
"Applies to Any of the Specified Order Statuses","Aplica a todos los estados de pedidos especificados"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","¿Está seguro de que desea actualizar las estadísticas? Podría producirse un fallo en el rendimiento durante dicha operación."
"Are you sure?","¿Está seguro?"
"Avg. Approved Rating","Promedio de calificación aprobada"
"Avg. Rating","Promedio de calificación"
"Bestsellers","Más vendidos"
"Bought from wishlists","Comprado desde la listas de deseos"
"CSV","CSV"
"Carts","Carritos"
"Catalog Category (Without Subcategories)","Categoría del catálogo (sin subcategorías)"
"Compared Products Grid Template","Comparados artículos - Plantilla cuadrícula"
"Compared Products List Template","Comparados artículos - Plantilla lista"
"Coupons","Cupones"
"Coupons Usage Report","Informe acerca del uso de cupones"
"Created At","Creado el"
"Current Month Starts","El mes actual empieza el"
"Customer","Cliente"
"Customer Name","Nombre del cliente"
"Customer Tags","Etiquetas de cliente"
"Customers","Clientes"
"Customers Report","Informe de clientes"
"Customers Reviews","Reseñas de clientes"
"Customers Tags","Etiquetas de clientes"
"Customers by Number of Orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por total de pedidos"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que tienen lista de deseos: %s%"
"Dashboard","Panel de control"
"Day","Día"
"Default Recently Compared Products Count","Contar los artículos comparardos por defecto"
"Default Recently Viewed Products Count","Contar las vistas de los artículos por defecto"
"Description","Descripción"
"Detail","Detalle"
"Discounts","Descuentos"
"Downloads","Descargas"
"Email","Correo electrónico"
"Empty Rows","Filas vacías"
"Enable Reports","Habilitar informes"
"Excel XML","Excel XML"
"Filter","Filtro"
"First Name","Nombre"
"From","desde"
"General","General"
"Guest","Visitante"
"Hits","Visitas"
"ID","ID"
"IP Address","Dirección IP"
