"%d Review(s)","%d reseña(s)"
"%s Review(s)","%s reseña(s)"
"(Posted on %s)","(Publicado en %s)"
"1 star","1 estrella"
"2 star","2 estrellas"
"2 stars","2 estrellas"
"3 star","3 estrellas"
"3 stars","3 estrellas"
"4 star","4 estrellas"
"4 stars","4 estrellas"
"5 star","5 estrellas"
"5 stars","5 estrellas"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Añadir nueva reseña"
"Add Your Review","Añadir Su reseña"
"Administrator","Administrador"
"All Reviews","Todas las reseñas"
"All Reviews of Customer `%s`","Todas las reseñas del clientes '%s'"
"All Reviews of Product `%s`","Todas las reseñas del artículo '%s'"
"Allow Guests to Write Reviews","Permitir a los visitantes escribir reseñas"
"Approved","Aprobado"
"Are you sure you want to do this?","¿Estás seguro de querer hacer esto?"
"Are you sure?","¿Está seguro?"
"Average Customer Rating","Valoración media de clientes"
"Average Customer Rating:","Revisión media de clientes:"
"Back","Atrás"
"Back to Main Product Info","Volver a información principal del artículo"
"Back to My Reviews","Volver a mis reseñas"
"Back to Product Reviews","Volver a reseñas de artículo"
"Be the first to review this product","Sea el primero en dejar una reseña para este artículo"
"Catalog Product Review View","Vista de reseñas de artículo de catálogo"
"Catalog Product Reviews List","Lista de reseñas de artículo de catálogo"
"Created On","Creado en"
"Customer","Cliente"
"Customer My Account Product Reviews","Reseñas de artículo de mi cuenta de cliente"
"Customer My Account Review Details","Detalles de reseña de mi cuenta de cliente"
"Customer Reviews","Reseñas de cliente"
"Customers Reviews","Reseñas de clientes"
"Delete","Eliminar"
"Delete Review","Eliminar reseñas"
"Detailed Rating","Valoración detallada"
"Edit Review '%s'","Editar reseña '%s'"
"Guest","Visitante"
"How do you rate this product?","¿Cómo valoras este artículo?"
"ID","Identificación"
"Let us know your thoughts","Háganos llegar Su opinión"
"Manage Ratings","Administrar puntuaciones"
"My Product Reviews","Reseñas de mi artículo"
"My Recent Reviews","Mis reseñas recientes"
"Name","Nombre"
"Name in Store","Nombre en la tienda"
"New Review","Nueva revisión"
"Nickname","Apodo"
"Nickname can\'t be empty","El apodo no puede estar vacío"
"Not Approved","No aprobado"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Sólo usuarios registrados pueden escribir sus opiniones. <a href=""%s"">Conéctese</a> o <a href=""%s"">regístrese</a>"
"Pending","Pendiente"
"Pending Reviews","Reseñas pendientes"
"Pending Reviews of Customer `%s`","Reseñas pendientes del cliente `%s`"
"Please select a product","Por favor, selecciona un artículo"
"Please select one of each of the ratings above","Por favor, selecciona una de cada una de las reseñas que aparecen encima"
"Posted By","Publicado por"
"Price","Precio"
"Product","Artículo"
"Product Name","Nombre de artículo"
"Product Rating","Valoración de artículo"
"Product Rating:","Valoración de artículo:"
"Product Review (submitted on %s):","Revisión de artículo (enviada en %s):"
"Product Reviews","Reseñas de artículo"
"Product SKU","Unidad de mantenimiento de existencias de artículo"
"Products Reviews","Reseñas de artículos"
"Qty","Cantidad"
"Rating:","Valoración:"
"Review","Reseña"
"Review (submitted on %s):","Reseña (enviada en %s):"
"Review Details","Detalles de reseña"
"Review Form Fields Before","Revisar campos del formulario antes"
"Review by %s","Revisado por %s"
"Review by <span>%s</span>","Reseña por <span>%s</span>"
"Review can\'t be empty","La reseña no puede estar vacía."
"Review summary can\'t be empty","El resumen de la reseña no puede estar vacío."
"Reviews","Reseñas"
"Reviews and Ratings","Reseñas y valoraciones"
"SKU","Número de referencia"
"Save Review","Guardar reseña"
"Status","Estado"
"Submit Review","Enviar reseña"
"Summary Rating","Resumen de valoración"
"Summary of Review","Resumen de reseña"
"Summary of Your Review","Resumen de Su reseña"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","No ha sido posible publicar la reseña."
"Update Status","Actualizar estado"
"View All Reviews","Ver todas las reseñas"
"View Details","Ver detalles"
"Visible In","Visible en"
"Websites","Páginas web"
"What's your nickname?","¿Cuál es Su apodo?"
"Write Your Own Review","Escribir Su propia reseña"
"You have submitted no reviews.","No has enviado ninguna reseña."
"You're reviewing:","Estás revisando:"
"Your Rating:","Su valoración:"
"Your Review (submitted on %s):","Su reseña (enviada en %s):"
"Your review has been accepted for moderation.","Su reseña se ha aceptado para ser moderada."
