"""%s"" coupon code is not valid.","El código de cupón ""%s"" no es válido."
"%s","%s"
"%s / %s rate:","Tasa %s / %s:"
"%s for %s","%s por %s"
"%s order(s) cannot be canceled","Se ha(n) podido cancelar %s pedidos."
"%s order(s) have been canceled.","Se ha(n) cancelado %s pedidos."
"%s order(s) have been put on hold.","Se ha(n) puesto en espera %s pedido(s)."
"%s order(s) have been released from holding status.","Se ha(n) liberado %s pedido(s) de su estado de espera."
"%s order(s) were not put on hold.","El(los) pedido(s) %s no se han puesto en espera."
"%s order(s) were not released from holding status.","El(los) pedido(s) %s no han sido liberados del estado de espera."
"* - Enter custom price excluding tax","* - Introduzca el precio a medida sin impuestos"
"* - Enter custom price including tax","* - Introduzca el precio a medida con impuestos"
"* Required Fields","* Campos requeridos"
"-- Please Select --","-- Por favor, seleccione --"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"About This Order:","Acerca de este pedido:"
"About This Profile:","Acerca de este perfil:"
"About Your Invoice","Acerca de su factura"
"About Your Order","Acerca de su pedido"
"About Your Refund","Acerca de su devolución"
"About Your Shipment","Acerca de su envío"
"Accept Payment","Aceptar pago"
"Accept or Deny Payment","Aceptar o rechazar pago"
"Account Information","Información de la cuenta"
"Action","Acción"
"Actions","Acciones"
"Activate","Activar"
"Active","Activo"
"Add","Agregar"
"Add New Address","Nueva dirección"
"Add Order Comments","Añadir comentarios al pedido"
"Add Package","Añadir paquete"
"Add Products","Añadir artículos"
"Add Selected Product(s) to Option","Añadir el(los) artículo(s) seleccionado(s) a la opción"
"Add Selected Product(s) to Order","Añadir el(los) artículo(s) seleccionado(s) al pedido"
"Add Selected Product(s) to Package","Añadir artículo(s) seleccionado(s) al paquete"
"Add To Order","Añadir al pedido"
"Add Tracking Number","Añadir código de seguimiento"
"Add comment to order","Añadir comentario al pedido"
"Add new comment to credit memo","Nuevo comentario a la factura rectificativa"
"Add new comment to shipment","Nuevo comentario al envío"
"Add new tracking number","Nuevo código de seguimiento"
"Add to Cart","Añadir al carrito"
"Additional Product Info","Información adicional del artículo"
"Address","Dirección"
"Address model is not defined.","El modelo de direcciones no está definido."
"Adjustment Fee","Recargo de una corrección"
"Adjustment Refund","Reembolso de una corrección"
"Agreement Information","Información del acuerdo"
"Allow Reorder","Permitir repetir pedido"
"Amount","Importe"
"Amount: %s.","Importe: %s."
"An error occurred while assigning order status. Status has not been assigned.","Ha ocurrido un error al asignar el estado de su pedido. No se ha asignado estado."
"An error occurred while creating shipping label.","Ha ocurrido un error al crear la etiqueta de envío."
"An error occurred while saving order status. The status has not been added.","Ha ocurrido un error al guardar el estado del pedido. No se ha añadido el estado."
"An error occurred while unassigning order status.","Ha ocurrido un error al desasignar el estado del pedido."
"An error occurred while updating the order address. The address has not been changed.","Ha ocurrido un error al actualizar la dirección del pedido. La dirección no se ha cambiado."
"An item option with code %s already exists.","Ya existe una opción de artículo con el código %s."
"Anchor Custom Title","Anclar título personalizado"
"Append Comments","Anexar comentarios"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar el código del cupón"
"Approved the payment online.","El pago ha sido aprobado a distancia."
"Are you sure you want to accept this payment?","¿Realmente quiere aceptar este pago?"
"Are you sure you want to cancel this order?","¿Realmente quiere cancelar este pedido?"
"Are you sure you want to delete all items from shopping cart?","¿Realmente quiere eliminar todos los artículos del carrito de compras?"
"Are you sure you want to deny this payment?","¿Realmente quiere rechazar este pago?"
"Are you sure you want to do this?","¿Realmente quiere hacer esto?"
"Are you sure you want to send Creditmemo email to customer?","¿Realmente quiere enviar al cliente un mensaje electrónico de factura rectificada?"
"Are you sure you want to send Invoice email to customer?","¿Realmente quiere enviar al cliente un mensaje electrónico de factura?"
