" But cart has some errors.","Su carrito de compras tiene algunos errores."
" Note: Image size affects the performance of your app.","Nota: El tamaño de la imagen afecta al funcionamiento de su aplicación"
"""Description"" is more than %d characters long","La ""descripción"" tiene más que %d caracters."
"""Title"" is more than %d characters long","El ""título"" tiene más que %d caracters."
"""id"" attribute is required for a ""%s"" field.","Se requiere el atributo ""id"" para el campo ""%s""."
"""line_count"" attribute is required for ""multiline"" element.","Se requiere el atributo ""line_count"" para el elemento multilínea."
"""message"" attribute is required for ""%s"" validator rule.","Se requiere el atributo ""message"" para la validación validator rule ""%s""."
"%1$s has been added to your wishlist.","%1$s se ha agregado a su lista de deseos."
"%1$s incl tax.","%1$s incluyendo impuestos."
"%@ is not correct","%@ no es correcto"
"%s API Key required.","%s clave API requerido."
"%s Application ID required.","%s ID de aplicacion requerido."
"%s Secret Key required.","%s clave secreta requerido."
"%s attribute is required.","Se requiere el atributo %s."
"%s fields is required","Se requiere los campos %s."
"%s has been added to your cart.","%s se ha agregado a su carrito de compras."
"%s id:","%s id:"
"%s was updated in your shopping cart.","%s se ha actualizado a su carrito de compras."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)"
"* - field is required","* Campo requerido"
"*Subject to change","* Sujeto a cambios."
"1. Please select type of the action:","1. Por favor, seleccione un tipo de acción:"
"10:40 AM","10:40 horas"
"2. Please select a page","2. Por favor, seleccione una página"
"2. Type Category Name","2. Insertar nombre de categoría"
"2. Type Product Name","2. Insertar nombre de artículo"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Acceder</a> para Urban Airship."
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">Acceder</a> para Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","A Catalog Only App will not support functions such as add to cart, add to wishlist, or login."
"A new password has been sent.","Una nueva contraseña se ha establecida."
"About","Acerca"
"Access forbidden","Acceso prohibido"
"Account","Cuenta"
"Account Information","Cuenta Información"
"Account Settings","Cuenta Configuraciones"
"Account confirmation is required. Please check your email for the confirmation link.","Cuenta Se requiere confirmación. Por favor revise su correo electrónico para el enlace de confirmación."
"Account information has been saved.","Cuenta Información ha sido guardada."
"Action","Acción"
"Action type does\'t recognized","Tipo de acción no reconocido."
"Action type does\'t recognized.","Tipo de acción no reconocido."
"Action type doesn\'t recognized.","Tipo de acción no reconocido."
"Activate","Activar"
"Activate PayPal Checkout","Habilitar pagar por PayPal"
"Activate PayPal MECL","Habilitar MECL de PayPal."
"Activation Key","La clave de activación"
"Add","Añadir"
"Add Action","Nueva acción"
"Add Address from Contacts","Añadir direcciones de los contactos"
"Add App","Nueva app"
"Add Custom","Nuevo cliente"
"Add New Address","Nueva dirección"
"Add New Template","Nueva plantilla"
"Add Page","Nueva página"
"Add To Wishlist","Añadir a la lista de deseos"
"Add a billing address","Nueva dirección de facturación"
"Add a shipping address","Nueva dirección de envío"
"Add to Cart","Añadir al carrito de compras"
"Add to Wishlist","Añadir a la lista de deseos"
"Adding Product to Cart...","Añadir artículo al carrito de compras"
"Adding Product to WishList...","Añadir artículo a la lista de deseos"
"Additional Address","Dirección adicional"
"Additional Info","Informacion adicional"
"Address","Dirección"
"Address 2","Dirección 2"
"Address Book","Libreta de direcciones"
"Address Book Updated","Actualización de la libreta de direcciones"
"Address Info","Informacion de dirección"
